AAPL Last 30 Trading Days:
      Date  Close   RSI    Volume
2025-01-02 243.58 45.46  55740700
2025-01-03 243.09 44.71  40244100
2025-01-06 244.73 47.79  45045600
2025-01-07 241.94 43.36  40856000
2025-01-08 242.43 44.34  37628900
2025-01-10 236.59 36.30  61710900
2025-01-13 234.14 33.55  49630700
2025-01-14 233.02 32.35  39435300
2025-01-15 237.61 41.60  39832000
2025-01-16 228.01 31.80  71759100
2025-01-17 229.73 34.76  68488300
2025-01-21 222.40 28.97  98070400
2025-01-22 223.58 30.98  64126500
2025-01-23 223.41 30.85  60234800
2025-01-24 222.54 30.12  54697900
2025-01-27 229.61 41.96  94863400
2025-01-28 238.00 52.29  75707600
2025-01-29 239.10 53.46  45486100
2025-01-30 237.33 51.28  55658300
2025-01-31 235.74 49.34 101075100
2025-02-03 227.76 40.95  73063300
2025-02-04 232.54 46.79  45067300
2025-02-05 232.21 46.45  39620300
2025-02-06 232.96 47.39  29925300
2025-02-07 227.38 41.54  39707200
2025-02-10 227.65 41.92  33115600
2025-02-11 232.62 48.44  53718400
2025-02-12 236.87 53.27  45243300
2025-02-13 241.53 57.93  53614100
2025-02-14 244.60 60.71  40145605
