AXON Last 30 Trading Days:
      Date  Close   RSI  Volume
2025-01-02 596.49 38.57  516500
2025-01-03 601.06 40.84  434600
2025-01-06 570.71 32.31 1614500
2025-01-07 562.03 30.35  935300
2025-01-08 577.34 37.53  590300
2025-01-10 570.00 35.63  482800
2025-01-13 568.68 35.29  422400
2025-01-14 579.80 40.52  509000
2025-01-15 580.00 40.61  702100
2025-01-16 585.84 43.39  466000
2025-01-17 593.89 47.07  533600
2025-01-21 605.58 51.95  531100
2025-01-22 607.60 52.76  362100
2025-01-23 613.38 55.10  368600
2025-01-24 610.32 53.59  309800
2025-01-27 604.68 50.82  458300
2025-01-28 637.53 62.85  548200
2025-01-29 639.97 63.56  422400
2025-01-30 653.43 67.29  536700
2025-01-31 652.18 66.61  611300
2025-02-03 658.11 68.25 1001800
2025-02-04 662.91 69.56  511500
2025-02-05 680.52 73.81  459700
2025-02-06 677.40 71.90  559200
2025-02-07 679.24 72.35  556200
2025-02-10 677.85 71.41  432400
2025-02-11 669.26 65.71  421500
2025-02-12 665.08 63.07  495800
2025-02-13 664.70 62.82  356100
2025-02-14 683.41 69.22  689907
