CRWD Last 30 Trading Days:
      Date  Close   RSI  Volume
2025-01-02 347.34 44.89 2713000
2025-01-03 359.02 51.45 2661400
2025-01-06 366.36 55.08 2899200
2025-01-07 359.93 51.46 2646800
2025-01-08 358.72 50.78 2549800
2025-01-10 348.84 45.52 2831700
2025-01-13 341.46 42.01 3337900
2025-01-14 348.04 46.00 2535300
2025-01-15 362.02 53.35 2882100
2025-01-16 363.38 54.00 2444900
2025-01-17 357.00 50.42 4915500
2025-01-21 366.41 55.15 2686000
2025-01-22 377.98 60.17 3608900
2025-01-23 377.70 59.99 2379000
2025-01-24 374.92 58.18 2281700
2025-01-27 373.75 57.40 3783500
2025-01-28 408.68 70.29 8247200
2025-01-29 397.07 63.42 4279500
2025-01-30 396.87 63.30 2785200
2025-01-31 398.07 63.73 3126200
2025-02-03 397.57 63.40 3555200
2025-02-04 407.52 67.04 2865700
2025-02-05 417.22 70.16 3108600
2025-02-06 420.51 71.16 2413300
2025-02-07 421.59 71.50 3501500
2025-02-10 428.92 73.74 2258800
2025-02-11 431.64 74.54 2323800
2025-02-12 434.63 75.42 2011000
2025-02-13 453.77 80.18 3681300
2025-02-14 451.74 78.45 2766780
