GOOG Last 30 Trading Days:
      Date  Close   RSI   Volume
2025-01-02 190.63 54.97 17545200
2025-01-03 193.13 58.39 12875000
2025-01-06 197.96 64.06 19483300
2025-01-07 196.71 61.71 16966800
2025-01-08 195.39 59.25 14335300
2025-01-10 193.17 55.25 20753800
2025-01-13 192.29 53.70 13169100
2025-01-14 191.05 51.51 13651200
2025-01-15 196.98 59.93 12894900
2025-01-16 194.41 55.44 13449600
2025-01-17 197.55 59.44 22109100
2025-01-21 199.63 61.88 19005200
2025-01-22 200.03 62.34 15477400
2025-01-23 199.58 61.43 15170800
2025-01-24 201.90 64.34 12732400
2025-01-27 193.77 50.08 24970200
2025-01-28 197.07 54.49 15939200
2025-01-29 197.18 54.64 12287800
2025-01-30 202.63 61.18 14571500
2025-01-31 205.60 64.21 17087300
2025-02-03 202.64 59.25 16719500
2025-02-04 207.71 64.33 28285400
2025-02-05 193.30 46.55 43666400
2025-02-06 193.31 46.56 20816600
2025-02-07 187.14 40.94 29565700
2025-02-10 188.20 42.23 16606000
2025-02-11 187.07 41.20 13028100
2025-02-12 185.43 39.68 17632300
2025-02-13 187.88 43.06 12729300
2025-02-14 186.87 42.01 12634771
