META Last 30 Trading Days:
      Date  Close   RSI   Volume
2025-01-02 599.24 51.91 12682300
2025-01-03 604.63 54.42 11436800
2025-01-06 630.20 64.02 14560800
2025-01-07 617.89 57.72 12071500
2025-01-08 610.72 54.36 10085800
2025-01-10 615.86 56.32 19256600
2025-01-13 608.33 52.74 10785000
2025-01-14 594.25 46.77 13598000
2025-01-15 617.12 55.57 15524300
2025-01-16 611.30 53.16  8355300
2025-01-17 612.77 53.71 17280600
2025-01-21 616.46 55.12 11674000
2025-01-22 623.50 57.78 12274000
2025-01-23 636.45 62.20  9910200
2025-01-24 647.49 65.52 19065300
2025-01-27 659.88 68.83 28399200
2025-01-28 674.33 72.18 20950100
2025-01-29 676.49 72.65 21377800
2025-01-30 687.00 74.89 29322900
2025-01-31 689.18 75.34 19331700
2025-02-03 697.46 77.03 21415700
2025-02-04 704.19 78.32 13826300
2025-02-05 704.87 78.46 17778200
2025-02-06 711.99 79.85 13080700
2025-02-07 714.52 80.33 16427100
2025-02-10 717.40 80.89 12904300
2025-02-11 719.80 81.37 12998000
2025-02-12 725.38 82.47 12016500
2025-02-13 728.56 83.09 12569100
2025-02-14 736.67 84.57 16839183
