NVDA Last 30 Trading Days:
      Date  Close   RSI    Volume
2025-01-02 138.31 51.48 198247200
2025-01-03 144.47 59.95 229322500
2025-01-06 149.43 65.22 265377400
2025-01-07 140.14 51.55 351782200
2025-01-08 140.11 51.51 227349900
2025-01-10 135.91 46.41 207602500
2025-01-13 133.23 43.46 204808900
2025-01-14 131.76 41.88 195590500
2025-01-15 136.24 48.06 185217300
2025-01-16 133.57 44.99 209235600
2025-01-17 137.71 50.29 201188800
2025-01-21 140.83 53.90 197749000
2025-01-22 147.07 60.13 237651400
2025-01-23 147.22 60.27 155915500
2025-01-24 142.62 54.05 234657600
2025-01-27 118.42 34.10 818830900
2025-01-28 128.99 43.85 579666400
2025-01-29 123.70 40.61 467120600
2025-01-30 124.65 41.45 392925500
2025-01-31 120.07 38.62 390372900
2025-02-03 116.66 36.62 371235700
2025-02-04 118.65 38.62 256550000
2025-02-05 124.83 44.47 262230800
2025-02-06 128.68 47.81 251483600
2025-02-07 129.84 48.81 228186300
2025-02-10 133.57 51.99 216989100
2025-02-11 132.80 51.28 178902400
2025-02-12 131.14 49.71 160278600
2025-02-13 135.29 53.55 197430000
2025-02-14 138.85 56.61 194448420
