TSLA Last 30 Trading Days:
      Date  Close   RSI    Volume
2025-01-02 379.28 43.08 109710700
2025-01-03 410.44 51.31  95423300
2025-01-06 411.05 51.46  85516500
2025-01-07 394.36 47.23  75699500
2025-01-08 394.94 47.39  73038800
2025-01-10 394.74 47.34  62287300
2025-01-13 403.31 49.97  67580500
2025-01-14 396.36 47.88  84565000
2025-01-15 428.22 56.79  81375500
2025-01-16 413.82 52.43  68335200
2025-01-17 426.50 55.65  94991400
2025-01-21 424.07 54.89  87320900
2025-01-22 415.11 52.03  60963300
2025-01-23 412.38 51.16  50690600
2025-01-24 406.58 49.27  56427100
2025-01-27 397.15 46.27  58125500
2025-01-28 398.09 46.62  48910700
2025-01-29 389.10 43.70  68033600
2025-01-30 400.28 48.06  98092900
2025-01-31 404.60 49.68  83568200
2025-02-03 383.68 42.73  93732100
2025-02-04 392.21 46.04  57072200
2025-02-05 378.17 41.76  57223300
2025-02-06 374.32 40.64  77918200
2025-02-07 361.62 37.12  70298300
2025-02-10 350.73 34.36  77514900
2025-02-11 328.50 29.55 118543400
2025-02-12 336.51 33.18 105382700
2025-02-13 355.94 41.12  89441500
2025-02-14 355.84 41.09  67898313
